"site_id","utm_zone","epsg","cell_e0","cell_n0","x_centroid","y_centroid","lon_centroid","lat_centroid"
"UTM29N_E1200000_N4640000","29N",32629,1200000,4640000,1205000,4645000,-0.537885562591944,41.6441741417964
"UTM29N_E1250000_N4650000","29N",32629,1250000,4650000,1255000,4655000,0.0678589109992078,41.6875683029266
"UTM29N_E1260000_N4660000","29N",32629,1260000,4660000,1265000,4665000,0.199270054845159,41.7669783835155
"UTM29N_E640000_N4170000","29N",32629,640000,4170000,645000,4175000,-7.3549663293284,37.7107827694307
"UTM29N_E1180000_N4680000","29N",32629,1180000,4680000,1185000,4685000,-0.729429502137314,42.0180903793348
"UTM29N_E1190000_N4610000","29N",32629,1190000,4610000,1195000,4615000,-0.691195614517613,41.3855528452597
"UTM29N_E1030000_N4130000","29N",32629,1030000,4130000,1035000,4135000,-2.97368400313082,37.208030333592
"UTM29N_E1150000_N4640000","29N",32629,1150000,4640000,1155000,4645000,-1.13238492958703,41.686695372143
"UTM29N_E1180000_N4660000","29N",32629,1180000,4660000,1185000,4665000,-0.752584572521705,41.8398268350378
"UTM29N_E640000_N4150000","29N",32629,640000,4150000,645000,4155000,-7.35893306475019,37.5305874431976
"UTM29N_E1010000_N4150000","29N",32629,1010000,4150000,1015000,4155000,-3.18404683283006,37.3986160549198
"UTM29N_E1020000_N4150000","29N",32629,1020000,4150000,1025000,4155000,-3.07166316751696,37.3930153192737
"UTM29N_E1140000_N4620000","29N",32629,1140000,4620000,1145000,4625000,-1.2728940347054,41.5163322810157
"UTM29N_E1170000_N4660000","29N",32629,1170000,4660000,1175000,4665000,-0.871807889783493,41.8483843165119
"UTM29N_E1170000_N4650000","29N",32629,1170000,4650000,1175000,4655000,-0.883145544926695,41.7592199854702
"UTM29N_E1170000_N4600000","29N",32629,1170000,4600000,1175000,4605000,-0.93907353134321,41.3133402184449
"UTM29N_E1240000_N4670000","29N",32629,1240000,4670000,1245000,4675000,-0.0258415568811215,41.8748857474527
"UTM29N_E1010000_N4190000","29N",32629,1010000,4190000,1015000,4195000,-3.15598427434489,37.7572881852154
"UTM29N_E1130000_N4630000","29N",32629,1130000,4630000,1135000,4635000,-1.38112714001226,41.6135769758986
"UTM29N_E1240000_N4680000","29N",32629,1240000,4680000,1245000,4685000,-0.013264826427506,41.9638473429141
"UTM29N_E1210000_N4610000","29N",32629,1210000,4610000,1215000,4615000,-0.454608313644884,41.368100750628
"UTM29N_E1190000_N4600000","29N",32629,1190000,4600000,1195000,4605000,-0.702596875620552,41.2964220079561
"UTM29N_E1140000_N4650000","29N",32629,1140000,4650000,1145000,4655000,-1.24063369113353,41.7840798009547
"UTM29N_E820000_N4260000","29N",32629,820000,4260000,825000,4265000,-5.27477586641399,38.4741174246596
